run_id,cdc_name,operation_type,cdc_api_request_utc,resource_event_utc,e2e_latency_seconds,primary_pod_name,initial_pod_count,final_pod_count,status,error_details
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-17,CREATE,2025-05-08T17:49:51.060177+00:00,2025-05-08T17:49:55+00:00,3.939823,sleevecdc-e2e-06f26bf3-17-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-20,CREATE,2025-05-08T17:49:51.060310+00:00,2025-05-08T17:49:55+00:00,3.93969,sleevecdc-e2e-06f26bf3-20-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-13,CREATE,2025-05-08T17:49:51.059905+00:00,2025-05-08T17:49:55+00:00,3.940095,sleevecdc-e2e-06f26bf3-13-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-19,CREATE,2025-05-08T17:49:51.060270+00:00,2025-05-08T17:49:55+00:00,3.93973,sleevecdc-e2e-06f26bf3-19-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-16,CREATE,2025-05-08T17:49:51.060079+00:00,2025-05-08T17:49:56+00:00,4.939921,sleevecdc-e2e-06f26bf3-16-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-27,CREATE,2025-05-08T17:49:51.064018+00:00,2025-05-08T17:49:56+00:00,4.935982,sleevecdc-e2e-06f26bf3-27-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-26,CREATE,2025-05-08T17:49:51.063938+00:00,2025-05-08T17:49:56+00:00,4.936062,sleevecdc-e2e-06f26bf3-26-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-28,CREATE,2025-05-08T17:49:51.064363+00:00,2025-05-08T17:49:56+00:00,4.935637,sleevecdc-e2e-06f26bf3-28-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-31,CREATE,2025-05-08T17:49:51.064805+00:00,2025-05-08T17:49:57+00:00,5.935195,sleevecdc-e2e-06f26bf3-31-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-36,CREATE,2025-05-08T17:49:51.065372+00:00,2025-05-08T17:49:57+00:00,5.934628,sleevecdc-e2e-06f26bf3-36-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-30,CREATE,2025-05-08T17:49:51.064504+00:00,2025-05-08T17:49:57+00:00,5.935496,sleevecdc-e2e-06f26bf3-30-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-32,CREATE,2025-05-08T17:49:51.064877+00:00,2025-05-08T17:49:57+00:00,5.935123,sleevecdc-e2e-06f26bf3-32-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-33,CREATE,2025-05-08T17:49:51.064932+00:00,2025-05-08T17:49:57+00:00,5.935068,sleevecdc-e2e-06f26bf3-33-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-34,CREATE,2025-05-08T17:49:51.064985+00:00,2025-05-08T17:49:57+00:00,5.935015,sleevecdc-e2e-06f26bf3-34-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-29,CREATE,2025-05-08T17:49:51.064416+00:00,2025-05-08T17:49:57+00:00,5.935584,sleevecdc-e2e-06f26bf3-29-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-38,CREATE,2025-05-08T17:49:51.065584+00:00,2025-05-08T17:49:57+00:00,5.934416,sleevecdc-e2e-06f26bf3-38-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-37,CREATE,2025-05-08T17:49:51.065498+00:00,2025-05-08T17:49:57+00:00,5.934502,sleevecdc-e2e-06f26bf3-37-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-43,CREATE,2025-05-08T17:49:51.066354+00:00,2025-05-08T17:49:58+00:00,6.933646,sleevecdc-e2e-06f26bf3-43-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-35,CREATE,2025-05-08T17:49:51.065030+00:00,2025-05-08T17:49:58+00:00,6.93497,sleevecdc-e2e-06f26bf3-35-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-39,CREATE,2025-05-08T17:49:51.065732+00:00,2025-05-08T17:49:58+00:00,6.934268,sleevecdc-e2e-06f26bf3-39-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-40,CREATE,2025-05-08T17:49:51.065886+00:00,2025-05-08T17:49:58+00:00,6.934114,sleevecdc-e2e-06f26bf3-40-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-46,CREATE,2025-05-08T17:49:51.066649+00:00,2025-05-08T17:49:58+00:00,6.933351,sleevecdc-e2e-06f26bf3-46-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-44,CREATE,2025-05-08T17:49:51.066559+00:00,2025-05-08T17:49:59+00:00,7.933441,sleevecdc-e2e-06f26bf3-44-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-45,CREATE,2025-05-08T17:49:51.066605+00:00,2025-05-08T17:49:59+00:00,7.933395,sleevecdc-e2e-06f26bf3-45-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-42,CREATE,2025-05-08T17:49:51.066028+00:00,2025-05-08T17:49:59+00:00,7.933972,sleevecdc-e2e-06f26bf3-42-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-47,CREATE,2025-05-08T17:49:51.066690+00:00,2025-05-08T17:49:59+00:00,7.93331,sleevecdc-e2e-06f26bf3-47-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-41,CREATE,2025-05-08T17:49:51.065944+00:00,2025-05-08T17:49:59+00:00,7.934056,sleevecdc-e2e-06f26bf3-41-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-48,CREATE,2025-05-08T17:49:51.066732+00:00,2025-05-08T17:50:00+00:00,8.933268,sleevecdc-e2e-06f26bf3-48-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-49,CREATE,2025-05-08T17:49:51.066775+00:00,2025-05-08T17:50:02+00:00,10.933225,sleevecdc-e2e-06f26bf3-49-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-50,CREATE,2025-05-08T17:49:51.066816+00:00,2025-05-08T17:50:02+00:00,10.933184,sleevecdc-e2e-06f26bf3-50-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-52,CREATE,2025-05-08T17:49:51.068003+00:00,2025-05-08T17:50:03+00:00,11.931997,sleevecdc-e2e-06f26bf3-52-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-58,CREATE,2025-05-08T17:49:51.069276+00:00,2025-05-08T17:50:03+00:00,11.930724,sleevecdc-e2e-06f26bf3-58-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-53,CREATE,2025-05-08T17:49:51.068092+00:00,2025-05-08T17:50:03+00:00,11.931908,sleevecdc-e2e-06f26bf3-53-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-56,CREATE,2025-05-08T17:49:51.068598+00:00,2025-05-08T17:50:04+00:00,12.931402,sleevecdc-e2e-06f26bf3-56-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-51,CREATE,2025-05-08T17:49:51.067764+00:00,2025-05-08T17:50:05+00:00,13.932236,sleevecdc-e2e-06f26bf3-51-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-57,CREATE,2025-05-08T17:49:51.069211+00:00,2025-05-08T17:50:07+00:00,15.930789,sleevecdc-e2e-06f26bf3-57-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-59,CREATE,2025-05-08T17:49:51.069340+00:00,2025-05-08T17:50:09+00:00,17.93066,sleevecdc-e2e-06f26bf3-59-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-54,CREATE,2025-05-08T17:49:51.068142+00:00,2025-05-08T17:50:10+00:00,18.931858,sleevecdc-e2e-06f26bf3-54-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-61,CREATE,2025-05-08T17:49:51.069499+00:00,2025-05-08T17:50:10+00:00,18.930501,sleevecdc-e2e-06f26bf3-61-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-63,CREATE,2025-05-08T17:49:51.069700+00:00,2025-05-08T17:50:11+00:00,19.9303,sleevecdc-e2e-06f26bf3-63-sleeve-sts-0,,1,SUCCESS,
